product_id,price,n_reviews_total,y_favrate_only,y_50_50,y_30_70,y_70_30,y_sentiment_only,m_e_avg,m_f_avg,me1_z,me2_z,me3_z,me4_z,me5_z,mf1_z,mf2_z,mf3_z,mf4_z,mf5_z,mf6_z,mf7_z,z_pc1,z_pc2,z_pc3,z_pc4,z_pc5,z_pc6,z_pc7,has_discount,free_shipping,ln_imperfection,ln_brand_avg_price,recency_inv,sentiment_mean,favorable_rate_raw,favorable_rate_logit,sentiment_z,favrate_z,brand
1-29,399,158,-0.403035099,0.033650306,-0.141023856,0.208324468,0.470335711,-0.099933114,-0.394190282,-0.641853654,-0.591472299,-0.623873096,1.526041572,-0.16850809,-0.783993798,-0.868529024,-1.078124632,1.062519323,-0.410799234,-0.037605517,-0.642799091,0.522269387,-0.204123475,0.872964162,0.084953686,-0.873071925,0.795588556,-0.367694394,0,1,-4.605170185988091,6.866586001944066,0.002262443438914,0.848734177,0.99,4.500819262,0.470335711,-0.403035099,LS
1-30,258,594,-0.810020789,-0.90452672,-0.866724347,-0.942329092,-0.99903265,-0.424134404,-0.131479784,-0.807463962,-0.865676237,0.306446793,-0.389466288,-0.364512327,0.013445701,-0.868529024,-0.504037975,-0.484512796,0.523323047,-0.390752931,0.790705493,1.306429622,0.084240241,-0.148388844,0.249511108,-0.522749142,0.145813507,-0.322930177,1,1,-4.605170185988091,5.556828061699537,0.0909090909090909,0.61506734,0.98,3.844050022,-0.99903265,-0.810020789,ZB
1-31,58,48,-0.810020789,-3.146257199,-2.211762635,-4.080751763,-5.482493609,-1.157073296,-1.882476666,-1.403051951,-0.83348885,-0.801817983,-2.06181388,-0.685193816,-1.02661395,-1.199990592,-3.092963305,-2.549107416,-0.862776561,-1.678382731,-2.767502106,1.313660264,0.122033989,0.57598469,1.507649706,0.439235901,-0.119457525,0.004797072,1,1,-4.605170185988091,4.07753744390572,0.0016155088852988,-0.097916667,0.98,3.844050022,-5.482493609,-0.810020789,QZ
1-32,298,143,-1.379109601,-1.049554955,-1.181376813,-0.917733097,-0.720000309,-0.039230035,-0.303966521,0.003239608,0.155901891,-0.324678028,0.464285661,-0.494899306,-1.150271963,-0.868529024,0.910113365,-0.138637981,-0.627770662,-0.783945247,0.531275866,0.88462876,0.359570661,1.046996605,0.257836901,0.537153967,-0.591408561,0.480844233,0,1,0.9202827531436923,5.700443573390687,0.0027472527472527,0.659440559,0.95,2.92568843,-0.720000309,-1.379109601,FZ
1-33,484,130,1.089110451,0.800633073,0.916024024,0.685242122,0.512155695,1.112091493,1.595253558,0.212954543,2.931544024,1.339797133,0.871728745,0.204433017,1.246791057,0.81427586,3.786286188,1.911796745,1.334528595,1.319483573,0.753612886,0.65274255,0.047185696,-0.483116313,0.34093933,-0.410054559,-0.417581256,0.64676776,0,0,0.412109650826833,6.23962586139748,0.0016155088852988,0.855384615,1.0,6.908754779,0.512155695,1.089110451,BJ
1-34,346,328,-0.403035099,-0.257613347,-0.315782048,-0.199444646,-0.112191594,-0.151530754,-0.394773905,-0.712560464,-0.273899361,-0.22897518,0.292596459,0.165184775,-1.127651595,-0.868529024,-0.469170374,0.367071778,-0.40172078,-0.819962864,0.556545526,-0.542741257,0.443165285,0.806249432,1.490901495,0.967922492,0.423657938,0.08608228,1,1,-0.8915981192837826,5.849324779946859,0.0227272727272727,0.756097561,0.99,4.500819262,-0.112191594,-0.403035099,MS
1-35,478,168,1.089110451,0.794932137,0.912603463,0.677260812,0.500753823,-0.257101041,0.087112097,-0.552352834,-0.640019667,0.210463147,-0.10433266,-0.199263193,0.121639027,0.563858466,-0.015850523,0.936807916,-0.262672212,-0.390752931,-0.343245063,1.08189376,-0.050825306,0.94928736,0.64750685,0.696919508,-0.917173028,0.381924104,0,1,-4.605170185988091,6.980695903383852,0.0016181229773462,0.853571429,1.0,6.908754779,0.500753823,1.089110451,HF
2-1,599,7,-1.685650576,-2.243128463,-2.020137308,-2.466119617,-2.800606349,-1.000131625,-0.921538116,-1.01256711,-0.83348885,-1.144687398,-1.324720952,-0.685193816,-0.408323885,-0.868529024,-1.303124065,-1.091150307,-0.862776561,-0.819962864,-1.096900102,1.251545236,0.872939805,0.524143344,0.774752496,-0.5640216,0.571685045,-0.345376759,0,0,-2.207274913189724,7.372785624427692,0.0018867924528301,0.328571429,0.92,2.431010882,-2.800606349,-1.685650576,LG
2-2,668,499,1.089110451,0.765115346,0.894713388,0.635517303,0.44112024,0.385463971,1.647466346,0.989939317,0.396430534,0.434985518,0.286725312,-0.180760824,1.858161458,1.048501207,1.806470638,1.353198308,2.066790964,2.058066069,1.341075778,-0.330614804,-0.473623293,-0.514872064,-0.102405285,0.040808115,0.554969694,0.61970465,1,1,-0.6733445532637656,6.738152494595957,0.0196078431372549,0.844088176,1.0,6.908754779,0.44112024,1.089110451,WN
2-3,548,589,-0.810020789,-0.267019969,-0.484220297,-0.049819641,0.275980852,0.274395486,0.172118227,0.029609748,-0.417992863,0.158099955,0.598247357,1.004013232,0.168606878,0.164685643,0.301629249,0.447634684,-0.231597199,0.181284077,0.172584255,-0.303785122,1.072931771,-0.299484926,-0.138093083,-1.166256201,-0.553914088,-0.129989668,1,1,-4.605170185988091,7.549671082742242,0.0133333333333333,0.817826825,0.98,3.844050022,0.275980852,-0.810020789,MY
